season,week,half_life,home_team,away_team,rating_diff,home_field,rest_diff,actual_margin,actual_home_win
2014,7,2,BAL,ATL,0.1696106212506572,1.0,0,22.0,True
2014,7,2,BUF,MIN,0.2410667237216373,1.0,0,1.0,True
2014,7,2,CHI,MIA,-0.0359893057387991,1.0,0,-13.0,False
2014,7,2,DET,NO,-0.0355978061970408,1.0,-7,1.0,True
2014,7,2,GB,CAR,0.2248742584546433,1.0,0,21.0,True
2014,7,2,IND,CIN,0.109499793107247,1.0,3,27.0,True
2014,7,2,JAX,CLE,-0.5446409204371672,1.0,0,18.0,True
2014,7,2,WAS,TEN,-0.0491652200434796,1.0,0,2.0,True
2014,7,2,DAL,NYG,0.2693955149611687,1.0,0,10.0,True
2014,7,2,DEN,SF,0.1427081366069808,1.0,1,25.0,True
2014,7,2,PIT,HOU,-0.0368926753243328,1.0,-3,7.0,True
2014,7,4,NE,NYJ,0.2059404152107924,1.0,0,2.0,True
2014,7,4,BAL,ATL,0.0920058359534546,1.0,0,22.0,True
2014,7,4,BUF,MIN,0.2296975671376997,1.0,0,1.0,True
2014,7,4,CHI,MIA,-0.0191791272114105,1.0,0,-13.0,False
2014,7,4,DET,NO,-0.0558307525948902,1.0,-7,1.0,True
2014,7,4,GB,CAR,0.1673013793817115,1.0,0,21.0,True
2014,7,4,IND,CIN,0.0423321665788606,1.0,3,27.0,True
2014,7,4,JAX,CLE,-0.460848946391632,1.0,0,18.0,True
2014,7,4,WAS,TEN,0.0336049376746453,1.0,0,2.0,True
2014,7,4,DAL,NYG,0.1879778208362146,1.0,0,10.0,True
2014,7,4,DEN,SF,0.1036194457778911,1.0,1,25.0,True
2014,7,4,PIT,HOU,-0.0306067960908035,1.0,-3,7.0,True
2014,7,6,NE,NYJ,0.1775879601005689,1.0,0,2.0,True
2014,7,6,BAL,ATL,0.0665527280027952,1.0,0,22.0,True
2014,7,6,BUF,MIN,0.2224954891166763,1.0,0,1.0,True
2014,7,6,CHI,MIA,-0.0106394111870437,1.0,0,-13.0,False
2014,7,6,DET,NO,-0.0583186016524286,1.0,-7,1.0,True
2014,7,6,GB,CAR,0.1382963023571075,1.0,0,21.0,True
2014,7,6,IND,CIN,0.0125487719357487,1.0,3,27.0,True
2014,7,6,JAX,CLE,-0.42752395083857,1.0,0,18.0,True
2014,7,6,WAS,TEN,0.0594601059404993,1.0,0,2.0,True
2014,7,6,DAL,NYG,0.1630080431156758,1.0,0,10.0,True
2014,7,6,DEN,SF,0.0919285439667775,1.0,1,25.0,True
2014,7,6,PIT,HOU,-0.0343439628236623,1.0,-3,7.0,True
2014,7,10,NE,NYJ,0.1553365202119607,1.0,0,2.0,True
2014,7,10,BAL,ATL,0.0464759593414345,1.0,0,22.0,True
2014,7,10,BUF,MIN,0.2154329731883753,1.0,0,1.0,True
