game_id,season,week,game_date,home_team,away_team,home_score,away_score
401282728,2021,11,2021-11-13T17:00:00.000Z,Indiana,Rutgers,3,38
401282729,2021,5,2021-10-02T23:30:00.000Z,Penn State,Indiana,24,0
401282730,2021,8,2021-10-23T23:30:00.000Z,Indiana,Ohio State,7,54
401282731,2021,7,2021-10-16T16:00:00.000Z,Indiana,Michigan State,15,20
401282732,2021,12,2021-11-20T20:30:00.000Z,Indiana,Minnesota,14,35
401282753,2021,13,2021-11-27T20:30:00.000Z,Purdue,Indiana,44,7
401282754,2021,2,2021-09-11T20:30:00.000Z,Iowa State,Iowa,17,27
401282755,2021,3,2021-09-18T19:30:00.000Z,Iowa,Kent State,30,7
401282756,2021,4,2021-09-25T19:30:00.000Z,Iowa,Colorado State,24,14
401282757,2021,10,2021-11-06T23:00:00.000Z,Northwestern,Iowa,12,17
401282758,2021,6,2021-10-09T20:00:00.000Z,Iowa,Penn State,23,20
401282759,2021,5,2021-10-02T00:00:00.000Z,Maryland,Iowa,14,51
401282760,2021,7,2021-10-16T19:30:00.000Z,Iowa,Purdue,7,24
401282761,2021,13,2021-11-26T18:30:00.000Z,Nebraska,Iowa,21,28
401282762,2021,11,2021-11-13T20:30:00.000Z,Iowa,Minnesota,27,22
401282763,2021,9,2021-10-30T16:00:00.000Z,Wisconsin,Iowa,26,7
401282764,2021,1,2021-09-04T19:30:00.000Z,Maryland,West Virginia,30,24
401282765,2021,4,2021-09-25T19:30:00.000Z,Maryland,Kent State,37,16
401282766,2021,13,2021-11-27T17:00:00.000Z,Rutgers,Maryland,2,13
401282767,2021,8,2021-10-23T19:30:00.000Z,Minnesota,Maryland,34,16
401282768,2021,10,2021-11-06T19:30:00.000Z,Maryland,Penn State,14,30
401282769,2021,6,2021-10-09T16:00:00.000Z,Ohio State,Maryland,66,17
401282770,2021,12,2021-11-20T20:30:00.000Z,Maryland,Michigan,18,59
401282771,2021,11,2021-11-13T21:00:00.000Z,Michigan State,Maryland,40,21
401282772,2021,1,2021-09-04T16:00:00.000Z,Michigan,Western Michigan,47,14
401282773,2021,2,2021-09-12T00:00:00.000Z,Michigan,Washington,31,10
401282774,2021,3,2021-09-18T16:00:00.000Z,Michigan,Northern Illinois,63,10
401282775,2021,4,2021-09-25T19:30:00.000Z,Michigan,Rutgers,20,13
401282776,2021,5,2021-10-02T16:00:00.000Z,Wisconsin,Michigan,17,38
401282777,2021,9,2021-10-30T16:00:00.000Z,Michigan State,Michigan,37,33
401282778,2021,6,2021-10-09T23:30:00.000Z,Nebraska,Michigan,29,32
401282779,2021,8,2021-10-23T16:00:00.000Z,Michigan,Northwestern,33,7
401282780,2021,11,2021-11-13T17:00:00.000Z,Penn State,Michigan,17,21
401282781,2021,13,2021-11-27T17:00:00.000Z,Michigan,Ohio State,42,27
401282782,2021,1,2021-09-04T01:00:00.000Z,Northwestern,Michigan State,21,38
401282784,2021,4,2021-09-25T23:00:00.000Z,Michigan State,Nebraska,23,20
401282785,2021,13,2021-11-27T20:30:00.000Z,Michigan State,Penn State,30,27
401282786,2021,12,2021-11-20T17:00:00.000Z,Ohio State,Michigan State,56,7
